Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Harvey city, Illinois",HARVEY PD,25361,5,23,149,122,361,471,144,10,87,78,9,7,4,185,25377,7,15,206,101,380,640,190,6,97,46,12,2,0,157,29.88759308697485,0.7018235647554983,35,38,35,66,40,90
"Harwood Heights village, Illinois",HARWOOD HEIGHTS PD,8690,0,2,3,6,19,148,21,0,6,1,4,1,0,12,8698,0,0,3,4,23,100,20,0,5,1,3,0,0,9,31.378064516129033,0.5279452487508747,26,56,36,85,10,25
"Hawthorn Woods village, Illinois",HAWTHORN WOODS PD,7905,0,0,0,1,5,22,1,0,7,14,7,0,0,28,7861,0,0,0,0,5,15,2,0,12,11,4,0,0,27,31.717706013363028,0.5461764454160309,55,,60,,32,
"Hazel Crest village, Illinois",HAZEL CREST PD,14200,1,8,26,22,110,279,36,0,23,12,2,0,0,37,14223,0,7,51,14,121,317,35,0,53,24,14,0,0,91,36.687029118305844,0.562279565123298,36,41,35,69,39,93
"Hebron village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03696498054475,0.6069135440397293,89,,97,,66,
"Hickory Hills city, Illinois",HICKORY HILLS PD,14206,0,4,6,8,24,108,6,0,54,10,18,0,0,82,14208,0,4,4,7,21,139,10,1,46,18,17,1,0,82,31.942539993470454,0.6121615874801506,33,73,22,36,28,125
"Highland Park city, Illinois",HIGHLAND PARK PD,29897,0,7,0,16,37,239,20,1,90,13,39,3,0,145,29920,0,5,2,12,46,279,10,1,95,13,59,2,0,169,29.863128726173482,0.5236687497905701,37,84,47,110,26,98
"Highwood city, Illinois",HIGHWOOD PD,5378,0,0,0,4,10,28,2,0,13,2,3,0,0,18,5328,0,0,0,2,6,29,0,1,16,12,18,1,1,48,21.552411319250698,0.8906281556734952,40,78,50,104,25,92
"Hillside village, Illinois",HILLSIDE PD,8203,0,2,7,17,52,239,25,0,10,5,2,0,0,17,8212,0,2,12,14,42,242,11,3,14,15,3,2,2,36,25.588398556758257,1.1792304772370636,25,89,27,63,15,54
"Hinsdale village, Illinois",HINSDALE PD (MCA),17601,0,1,2,0,24,141,6,1,43,13,22,0,0,78,17369,0,0,0,1,19,152,5,0,26,10,7,0,0,43,30.863742885838633,0.5638996953844402,34,71,26,66,21,111
