community,commute,diversity,crime,schools,price,fips,median_price
"Hazel Crest village, Illinois",-1.4056517055451456,-0.5509099478612021,-0.965879016054444,-0.995180913009892,-0.6032484804560339,33695,0
"Hebron village, Illinois",0.4401141079486447,-0.38564391458861974,-1.0531639733200098,-0.56965891472297,-0.6032484804560339,33851,0
"Hickory Hills city, Illinois",-0.2609272076303918,-0.3662120077119211,0.1383806903028671,-0.03252119233925257,-0.6032484804560339,34514,0
"Highland Park city, Illinois",0.24078181862802447,-0.6938740403837951,0.5590540849558276,1.6919765528515267,-0.6032484804560339,34722,"$495,000"
"Highwood city, Illinois",2.2459464550378847,0.6648649036812777,0.7998267205942015,1.6919765528515267,0.5745565616520127,34865,"$415,500"
"Hillside village, Illinois",1.2721654340504058,1.733471423556445,0.13187271829514122,-1.3712069647174958,1.0491997772178236,35086,"$142,950"
"Hinsdale village, Illinois",-0.0006409165476671836,-0.5449110988196422,0.14906985949459609,1.5077781862658466,0.7281233735651839,35307,"$850,000"
"Hodgkins village, Illinois",2.0683196496336365,0.3048698337117722,-1.119602036450282,1.1651837089911417,-0.5859315263374099,35385,"$197,500"
"Hoffman Estates village, Illinois",0.29048045519197935,1.51042961436579,0.5415918957303357,0.23197203726006077,0.23415735737681817,35411,"$239,000"
"Holiday Hills village, Illinois",-2.4530265388938237,-1.7014157356643151,0.6023777811554337,-0.37618133198705994,-0.6032484804560339,35515,0
"Homer Glen village, Illinois",-0.6849249216475781,-1.1079377065931846,-0.9255902903429467,0.20740629914603928,-0.6032484804560339,35835,0
"Hometown city, Illinois",0.579638004786926,-0.7126314600770913,-0.022319739370726222,-0.7316177022719484,1.5121177921806337,35866,"$106,000"
"Homewood village, Illinois",0.021225099661768016,1.239303986459378,-0.8659424509847403,-0.24614963483127975,0.9486828403267977,35879,"$129,900"
"Huntley village, Illinois",-1.9132583908279388,-0.36814125453978247,1.3279551157912861,0.31340905812231806,-0.6032484804560339,36750,0
"Indian Creek village, Illinois",0.16700242623244774,0.4344726570857553,0.1502434218728725,0.8249909898238997,-0.39958144375648874,37218,"$315,000"
"Indian Head Park village, Illinois",-0.39991277926017255,-0.8509205106166003,0.45381752328251057,1.1651837089911417,-0.7310147581371149,37257,"$212,000"
"Inverness village, Illinois",-0.9699595721486214,-1.0392073257260037,0.37228898644665176,0.6696657481939658,-1.0553247250735687,37608,"$520,000"
"Island Lake village, Illinois",-0.6083600089980452,-0.41068654033721697,0.04624936808099076,0.19695799971593186,-0.15917730607800928,37894,"$155,000"
"Itasca village, Illinois",0.6034238202083778,0.03077178646640995,0.6521839815948859,0.35156246736816177,0.1487897994966567,37907,"$263,000"
"Johnsburg village, Illinois",-0.5831948134563583,-0.9104971641243189,-0.21484425618423497,-0.2308141215448495,1.0343071077783967,38479,"$159,900"
"Joliet city, Illinois",0.13190062736282346,1.5075407078573695,-0.3890087738107948,-0.7090497734986162,1.3675638671126962,38570,"$142,000"
"Justice village, Illinois",-0.11959612016699703,1.1050100564909366,-0.6585456620421158,-0.9251617046122393,-0.4531216301812518,38830,"$153,000"
"Kaneville village, Illinois",0.9579396496936166,-1.2467731743080146,0.22364534894318522,-0.18608702869245483,-0.6032484804560339,38895,0
"Kenilworth village, Illinois",-1.1529844826689915,-1.5739392967255714,0.6105136567675524,2.300721027452128,-1.4888626264594693,39519,"$1,200,000"
"Kildeer village, Illinois",-0.7735631664269133,-0.18443703682295845,0.5980135354533115,1.4436463725240767,-0.7638770379841335,39883,"$410,000"
"La Grange Park village, Illinois",0.273615849860518,-0.3420830199087382,0.316605060813561,1.1072706541352286,-0.7730444564573609,40793,"$319,370"
"La Grange village, Illinois",0.0016984144639906383,-0.2025972107279301,0.29794557629253043,1.1651837089911417,-1.0353522226619178,40767,"$399,000"
"Lake Barrington village, Illinois",-1.0499222274771771,-1.2533602680964124,-0.0527624528140212,1.0338340941498636,-0.6032484804560339,40884,0
"Lake Bluff village, Illinois",0.33618042327045855,-1.035640829764433,-1.0286764895650151,1.8149854555385299,0.3332587370029583,40910,"$460,000"
"Lake Forest city, Illinois",0.1279234152054938,-1.150077906932445,-0.7765516461220285,1.8149854555385299,-0.8369077096051647,41105,"$730,000"
"Lake Villa village, Illinois",-0.8703487958557142,0.33345840517909686,0.13384763961507287,0.18981193724626919,0.45790816369914156,41586,"$194,500"
"Lake Zurich village, Illinois",-0.13311527911325446,-0.2672221792696889,-0.1936940923218246,1.0902585147501924,-0.7638770379841335,41742,"$410,000"
"Lake in the Hills village, Illinois",-1.3430862365800158,-0.14925624555884537,1.1682671514995533,0.16920535702319642,-0.6032484804560339,41183,0
"Lakemoor village, Illinois",-1.9521929836350624,-0.3806366302113523,-0.18466302043370592,-0.24270677192592274,-0.6032484804560339,41326,0
"Lakewood village, Illinois",-0.8901254105680053,-0.9842484770157647,1.095346077008041,0.4588999322243416,-0.6032484804560339,41651,0
"Lansing village, Illinois",0.16121221710813743,1.3303820176507946,-1.246166699472294,-1.4295316952702597,0.41341239345309777,42028,"$93,500"
"Lemont village, Illinois",-0.6300948489163717,-1.1206292307838117,0.5886255751445951,0.42882172468900875,1.2333020958235286,42795,"$364,916"
"Libertyville village, Illinois",1.0384008674603877,-0.9858250419584811,-1.0535755990929445,1.3476382652850512,-0.7300321662403481,43250,"$390,000"
"Lily Lake village, Illinois",-1.4388432803747813,-1.5139791914342164,1.0017411225485064,0.5932834795243496,-0.6032484804560339,43406,0
"Lincolnshire village, Illinois",0.2929965718663846,-0.8251234901371647,0.7246959676676842,1.842326958230548,-1.1198791676702538,43666,"$478,000"
"Lincolnwood village, Illinois",0.9711484285633898,0.9008192484535889,0.41350526413136773,0.3055873325393151,-0.7553189087234249,43744,"$352,500"
"Lindenhurst village, Illinois",-0.4707504029739346,-0.30480881092019385,0.3374154745977079,0.2683895696229535,-0.6032484804560339,43770,0
"Lisle village, Illinois",0.6144106171976271,0.7403020679348138,0.6712840087745143,0.8572840118743438,-1.4472118876831341,43939,"$261,000"
"Lockport city, Illinois",-0.8874553196813102,-0.7450964065677519,0.7582063689599577,0.20740629914603928,-0.042176863715681315,44225,"$180,000"
"Lombard village, Illinois",0.9879057333521222,0.30817863876906976,0.6359971361077181,0.038030041046389136,0.06569254780400217,44407,"$225,843"
"Long Grove village, Illinois",-0.7577564225465677,0.1415694578062102,0.5350798152757451,1.8423269582305482,-0.7638770379841335,44524,"$410,000"
"Lynwood village, Illinois",-0.6545563257730561,0.6731566049229255,-0.6147596621457408,-1.5582397446671548,1.4289943422633398,45421,"$126,375"
"Lyons village, Illinois",-0.1171384606152029,0.9248961979790197,0.07998677022302723,-1.5464547865046576,-0.6032484804560339,45434,0
